Professor_31;Disciplina_31;1
Professor_32;Disciplina_32;1
Professor_33;Disciplina_33;1
Professor_34;Disciplina_34;1
Professor_35;Disciplina_35;1
Professor_36;Disciplina_36;1
Professor_37;Disciplina_37;1
Professor_38;Disciplina_38;1
Professor_39;Disciplina_39;1
Professor_40;Disciplina_40;1
Professor_41;Disciplina_41;1
Professor_42;Disciplina_42;1
Professor_43;Disciplina_43;1
Professor_44;Disciplina_44;1
Professor_45;Disciplina_45;1
Professor_46;Disciplina_46;1
Professor_47;Disciplina_47;1
Professor_48;Disciplina_48;1
Professor_49;Disciplina_49;1
Professor_50;Disciplina_50;1
Professor_51;Disciplina_51;1
Professor_52;Disciplina_52;1
Professor_53;Disciplina_53;1
Professor_54;Disciplina_54;1
Professor_55;Disciplina_55;1
Professor_56;Disciplina_56;1
Professor_57;Disciplina_57;1
Professor_58;Disciplina_58;1
Professor_59;Disciplina_59;1
Professor_60;Disciplina_60;1
Professor_61;Disciplina_61;1
Professor_62;Disciplina_62;1
Professor_63;Disciplina_63;1
Professor_64;Disciplina_64;1
Professor_65;Disciplina_65;1
Professor_66;Disciplina_66;1
Professor_67;Disciplina_67;1
Professor_68;Disciplina_68;1
Professor_69;Disciplina_69;1
Professor_70;Disciplina_70;1
Professor_71;Disciplina_71;1
Professor_72;Disciplina_72;1
Professor_73;Disciplina_73;1
Professor_74;Disciplina_74;1
Professor_75;Disciplina_75;1
Professor_76;Disciplina_76;1
Professor_77;Disciplina_77;1
Professor_78;Disciplina_78;1
Professor_79;Disciplina_79;1
Professor_80;Disciplina_80;1

